theta1,theta2,x,y,I,time
0.0,0.0,0.0,0.0,0.0,9.999999974752427e-07
0.0436143337401531,-0.19625730205292716,-0.009477615356445312,0.014893651008605957,0.0,0.01065600011497736
0.3052907364773893,-0.9812941900275818,-0.041973114013671875,0.07988417148590088,0.0,0.021696999669075012
1.057619994050626,-2.4314220683914844,-0.08529949188232422,0.21663492918014526,0.0,0.0327409990131855
2.464140738452137,-4.165039276184909,-0.10560894012451172,0.4116063714027405,0.0,0.04395100101828575
4.666592114567067,-6.018599021667452,-0.08394622802734375,0.663444459438324,0.0,0.054999999701976776
7.414213542715411,-8.002990248726034,-0.03655719757080078,0.9572555422782898,0.0,0.06571300327777863
10.347188929474237,-10.608869172092946,-0.01624774932861328,1.3011634945869446,0.0,0.07656300067901611
13.487330721550647,-14.119713121568108,-0.039264678955078125,1.714123785495758,0.0,0.08798100054264069
16.889141236601347,-17.739598185230676,-0.05280494689941406,2.1501014828681946,0.0,0.09866800159215927
20.81431991665241,-21.762893516678602,-0.05889701843261719,2.643622934818268,0.0,0.10976199805736542
25.033877350005103,-26.255036456033185,-0.0758218765258789,3.184533178806305,0.0,0.12099000066518784
29.526016449478213,-30.692664598116277,-0.07243728637695312,3.7389832139015198,0.0,0.13169899582862854
34.51970550742238,-35.533710687747664,-0.06295967102050781,4.3496227860450745,0.0,0.14277400076389313
39.76417338448354,-40.66914129050289,-0.056189537048339844,4.994111597537994,0.0,0.1538189947605133
45.19399618012555,-45.9027000642994,-0.04400348663330078,5.656201899051666,0.0,0.16465899348258972
50.8527872681182,-51.56149115229205,-0.04400348663330078,6.358911573886871,0.0,0.17568300664424896
56.77325091896661,-57.43834910913362,-0.04129600524902344,7.091408312320709,0.0,0.186708003282547
62.80274800423948,-63.63139442610245,-0.05145072937011719,7.850307047367096,0.0,0.19772200286388397
69.1375463856638,-70.11883577583954,-0.0609283447265625,8.646441042423248,0.0,0.20884700119495392
75.62498005563793,-76.54085322504048,-0.05686664581298828,9.447990000247955,0.0,0.21980799734592438
82.30867774745758,-83.18092986332739,-0.05415821075439453,10.275264322757721,0.0,0.2307630032300949
89.14501840759,-89.93004377592024,-0.04874229431152344,11.1187863945961,0.0,0.2415419965982437
96.38477701527071,-97.0716857322041,-0.04265022277832031,12.011728823184967,0.0,0.2528589963912964
103.50460076502527,-104.18060421857547,-0.041973114013671875,12.895192682743073,0.0,0.26383599638938904
110.77707516285554,-111.50758957379576,-0.045357704162597656,13.80167442560196,0.0,0.2748059928417206
118.32212738692475,-119.06354706124814,-0.046034812927246094,14.739297449588776,0.0,0.285955011844635
125.88898245799739,-126.55408064816439,-0.04129600524902344,15.674212038516998,0.0,0.2969200015068054
133.53216669298936,-134.26268110392957,-0.045357704162597656,16.62740570306778,0.0,0.3078779876232147
141.30619104929067,-142.06942125038043,-0.04738903045654297,17.594816744327545,0.0,0.3188210129737854
149.34188028868482,-150.24684819470417,-0.056189537048339844,18.601490557193756,0.0,0.32999199628829956
157.3012557236855,-158.31526090401078,-0.06295967102050781,19.59665733575821,0.0,0.3409560024738312
165.48960329091832,-166.47089268109406,-0.0609283447265625,20.6114564538002,0.0,0.351936012506485
173.73247717506703,-174.6810507750932,-0.05889701843261719,21.633026659488678,0.0,0.3629019856452942
181.90990411939075,-182.8911935095665,-0.0609283447265625,22.65053230524063,0.0,0.37369200587272644
190.31631087570955,-191.33031605603483,-0.06295967102050781,23.696472704410553,0.0,0.38465699553489685
198.78814921232743,-199.76943860250316,-0.0609283447265625,24.746475756168365,0.0,0.3956510126590729
207.57616338942813,-208.59016856975342,-0.06295967102050781,25.839804232120514,0.0,0.4069800078868866
216.11342562658217,-217.02929879598472,-0.05686664581298828,26.893869936466217,0.0,0.41774898767471313
224.8687393730592,-225.7737072790786,-0.056189537048339844,27.980429232120514,0.0,0.42875200510025024
233.61315553591606,-234.57263439932544,-0.059574127197265625,29.069696962833405,0.0,0.439736008644104
242.34665875562675,-243.31704288241932,-0.06025123596191406,30.154902040958405,0.0,0.45057499408721924
251.53809856003872,-252.57389890760447,-0.06431293487548828,31.30035835504532,0.0,0.46193400025367737
260.58780065952106,-261.55818478631363,-0.06025123596191406,32.42009025812149,0.0,0.4729579985141754
269.7138165633969,-270.5642735120262,-0.05280494689941406,33.545914232730865,0.0,0.4839569926261902
278.6654020114824,-279.5485593907354,-0.05483531951904297,34.659554064273834,0.0,0.4948430061340332
